year,month,format,sst_mean,sst_std,t2m_mean,delta_T_mean,delta_T_std,n_hours
1940,01,nc,298.9694519042969,0.1506717950105667,296.5503845214844,-2.4190850257873535,1.618249535560608,744
1941,01,nc,299.07562255859375,0.20943689346313477,296.41796875,-2.6576619148254395,1.9671335220336914,744
1942,01,nc,299.8451843261719,0.16826112568378448,296.9746398925781,-2.8705496788024902,1.746078372001648,744
1943,01,nc,299.2961120605469,0.04997621476650238,297.1868591308594,-2.109250545501709,1.6949703693389893,744
1944,01,nc,299.56964111328125,0.23153306543827057,296.9669494628906,-2.6027162075042725,1.7611099481582642,744
1945,01,nc,299.60015869140625,0.1977246254682541,295.81866455078125,-3.781498670578003,2.114386558532715,744
1946,01,nc,299.5787658691406,0.07803831249475479,297.20849609375,-2.3702566623687744,2.0761990547180176,744
1947,01,nc,299.903564453125,0.1600060611963272,296.8890380859375,-3.014549970626831,1.657924771308899,744
1948,01,nc,299.1868591308594,0.16897441446781158,296.38775634765625,-2.7991132736206055,1.506851077079773,744
1949,01,nc,299.5195617675781,0.1569068431854248,296.31719970703125,-3.20237398147583,1.582306146621704,744
1950,01,nc,299.4920959472656,0.2479362040758133,296.7718811035156,-2.720202922821045,1.7748448848724365,744
1951,01,nc,299.2715148925781,0.07875949889421463,295.9054260253906,-3.3660731315612793,1.7813209295272827,744
1952,01,nc,299.0716247558594,0.31443631649017334,296.2865905761719,-2.7850396633148193,1.840706467628479,744
1953,01,nc,299.55267333984375,0.07289499044418335,295.60284423828125,-3.9498589038848877,1.6182888746261597,744
1954,01,nc,299.4609069824219,0.19130460917949677,296.67120361328125,-2.7897019386291504,1.831866979598999,744
1955,01,nc,299.0068664550781,0.12110666185617447,297.3038330078125,-1.7030386924743652,1.6254973411560059,744
1956,01,nc,299.00860595703125,0.12417864799499512,296.6273193359375,-2.3812947273254395,1.7760902643203735,744
1957,01,nc,298.7798767089844,0.14521673321723938,296.52117919921875,-2.2587273120880127,1.9283545017242432,744
1958,01,nc,300.3351745605469,0.27278757095336914,298.00274658203125,-2.3323957920074463,1.8181302547454834,744
1959,01,nc,299.35003662109375,0.18629103899002075,296.7013244628906,-2.648698329925537,1.7190247774124146,744
1960,01,nc,299.30120849609375,0.21451742947101593,296.88897705078125,-2.412243366241455,1.7480857372283936,744
1961,01,nc,299.9635314941406,0.15406788885593414,297.5233459472656,-2.4401750564575195,1.8925577402114868,744
1962,01,nc,298.9803161621094,0.4513360559940338,295.945556640625,-3.0347299575805664,2.005279064178467,744
1963,01,nc,299.87408447265625,0.18079401552677155,297.67645263671875,-2.1976568698883057,1.6928895711898804,744
1964,01,nc,299.6934509277344,0.564678966999054,296.5503234863281,-3.1431527137756348,1.9589595794677734,744
1965,01,nc,299.7615661621094,0.3357907831668854,297.7043762207031,-2.0571680068969727,1.8214044570922852,744
1966,01,nc,300.04705810546875,0.2715562880039215,297.2965087890625,-2.7505457401275635,1.8065539598464966,744
1967,01,nc,299.21075439453125,0.10988448560237885,296.76153564453125,-2.4492270946502686,1.848481297492981,744
1968,01,nc,299.4525146484375,0.39506372809410095,296.0332946777344,-3.419215679168701,1.7201255559921265,744
1969,01,nc,299.7123107910156,0.3611573576927185,297.0113830566406,-2.700962781906128,1.914742350578308,744
1970,01,nc,300.0531311035156,0.3831775486469269,296.8196105957031,-3.2335197925567627,1.714727759361267,744
1971,01,nc,299.3300476074219,0.21268120408058167,296.1582946777344,-3.171733856201172,1.9318342208862305,744
1972,01,nc,299.38922119140625,0.30878719687461853,297.1997985839844,-2.1894376277923584,1.8041223287582397,744
1973,01,nc,299.5466003417969,0.4266144335269928,296.3697814941406,-3.176800489425659,1.9546453952789307,744
1974,01,nc,299.4446716308594,0.32333844900131226,296.95916748046875,-2.4854965209960938,1.938597559928894,744
1975,01,nc,298.99261474609375,0.24363267421722412,296.1552429199219,-2.8373751640319824,1.863031029701233,744
1976,01,nc,298.9678955078125,0.3375885784626007,296.33428955078125,-2.6335582733154297,1.690284013748169,744
1977,01,nc,299.5245056152344,0.22411493957042694,296.68560791015625,-2.8389065265655518,1.780618667602539,744
1978,01,nc,299.6461181640625,0.3065568208694458,296.68243408203125,-2.9636881351470947,1.6021009683609009,744
1979,01,nc,299.49505615234375,0.35270994901657104,296.99078369140625,-2.5042636394500732,1.7265589237213135,744
1980,01,nc,299.58306884765625,0.3128959536552429,296.7899169921875,-2.793153762817383,1.6661807298660278,744
1981,01,nc,299.4095153808594,0.25714242458343506,296.5677795410156,-2.8417673110961914,1.6954799890518188,744
