year,month,duct_height_m
1940,01,8.682412060301509
1940,07,18.519346733668343
1941,01,14.3035175879397
1941,07,18.720100502512565
1942,01,11.492964824120603
1942,07,15.508040201005025
1943,01,12.898241206030152
1943,07,15.508040201005025
1944,01,12.095226130653268
1944,07,16.110301507537688
1945,01,10.288442211055278
1945,07,13.701256281407035
1946,01,13.098994974874373
1946,07,14.705025125628142
1947,01,10.087688442211055
1947,07,15.508040201005025
1948,01,9.284673366834172
1948,07,13.299748743718594
1949,01,11.492964824120603
1949,07,12.69748743718593
1950,01,11.492964824120603
1950,07,14.3035175879397
1951,01,13.098994974874373
1951,07,12.49673366834171
1952,01,10.288442211055278
1952,07,13.701256281407035
1953,01,12.69748743718593
1953,07,12.295979899497489
1954,01,12.898241206030152
1954,07,13.701256281407035
1955,01,12.898241206030152
1955,07,15.307286432160804
1956,01,10.68994974874372
1956,07,15.106532663316584
1957,01,11.292211055276383
1957,07,15.106532663316584
1958,01,12.49673366834171
1958,07,14.905778894472363
1959,01,12.295979899497489
1959,07,14.905778894472363
1960,01,13.098994974874373
1960,07,13.500502512562814
1961,01,13.500502512562814
1961,07,15.508040201005025
1962,01,13.701256281407035
1962,07,15.307286432160804
1963,01,13.098994974874373
1963,07,14.50427135678392
1964,01,14.705025125628142
1964,07,12.49673366834171
1965,01,11.693718592964824
1965,07,16.913316582914575
1966,01,10.89070351758794
1966,07,14.3035175879397
1967,01,16.51180904522613
1967,07,14.905778894472363
1968,01,11.894472361809045
1968,07,14.50427135678392
1969,01,11.894472361809045
1969,07,14.3035175879397
1970,01,11.693718592964824
1970,07,13.902010050251258
1971,01,12.49673366834171
1971,07,14.50427135678392
1972,01,13.299748743718594
1972,07,15.106532663316584
1973,01,13.500502512562814
1973,07,14.102763819095479
1974,01,13.500502512562814
1974,07,12.898241206030152
1975,01,13.902010050251258
1975,07,12.095226130653268
1976,01,11.894472361809045
1976,07,14.50427135678392
1977,01,11.894472361809045
1977,07,14.3035175879397
1978,01,14.3035175879397
1978,07,13.299748743718594
1979,01,11.894472361809045
1979,07,12.898241206030152
1980,01,12.69748743718593
1980,07,15.106532663316584
1981,01,12.095226130653268
1981,07,14.50427135678392
1982,01,10.087688442211055
1982,07,13.701256281407035
1983,01,12.295979899497489
1983,07,12.295979899497489
1984,01,13.299748743718594
1984,07,14.102763819095479
1985,01,13.098994974874373
1985,07,14.3035175879397
1986,01,11.693718592964824
1986,07,15.708793969849248
1987,01,12.69748743718593
1987,07,14.705025125628142
1988,01,12.295979899497489
1988,07,15.106532663316584
1989,01,14.102763819095479
1989,07,13.299748743718594
1990,01,13.902010050251258
1990,07,16.110301507537688
1991,01,14.3035175879397
1991,07,15.708793969849248
1992,01,12.095226130653268
1992,07,13.299748743718594
1993,01,14.3035175879397
1993,07,15.508040201005025
1994,01,12.295979899497489
1994,07,15.508040201005025
1995,01,13.902010050251258
1995,07,13.098994974874373
1996,01,11.894472361809045
1996,07,12.898241206030152
1997,01,12.49673366834171
1997,07,14.705025125628142
1998,01,12.69748743718593
1998,07,14.102763819095479
1999,01,12.69748743718593
1999,07,14.50427135678392
2000,01,12.898241206030152
2000,07,15.508040201005025
2001,01,15.106532663316584
2001,07,14.905778894472363
2002,01,13.902010050251258
2002,07,17.114070351758794
2003,01,13.299748743718594
2003,07,14.3035175879397
2004,01,13.098994974874373
2004,07,13.500502512562814
2005,01,15.106532663316584
2005,07,14.905778894472363
2006,01,14.102763819095479
2006,07,16.712562814070353
2007,01,14.905778894472363
2007,07,14.50427135678392
2008,01,14.50427135678392
2008,07,14.3035175879397
2009,01,13.299748743718594
2009,07,14.50427135678392
2010,01,13.902010050251258
2010,07,13.902010050251258
2011,01,14.905778894472363
2011,07,12.898241206030152
2012,01,14.102763819095479
2012,07,14.102763819095479
2013,01,13.701256281407035
2013,07,15.106532663316584
2014,01,13.098994974874373
2014,07,14.905778894472363
2015,01,14.102763819095479
2015,07,15.106532663316584
2016,01,13.500502512562814
2016,07,14.102763819095479
2017,01,13.098994974874373
2017,07,14.905778894472363
2018,01,11.492964824120603
2018,07,15.708793969849248
2019,01,14.905778894472363
2019,07,12.898241206030152
2020,01,11.693718592964824
2020,07,12.49673366834171
2021,01,14.102763819095479
2021,07,15.508040201005025
2022,01,11.693718592964824
2022,07,15.508040201005025
2023,01,13.902010050251258
2023,07,14.3035175879397
2024,01,14.905778894472363
2024,07,15.708793969849248
2025,01,13.299748743718594
2025,07,15.106532663316584
