year,month,format,sst_mean,t2m_mean,d2m_mean,deltaT_mean,wind_speed_mean
1940,01,nc,298.9694519042969,296.5503845214844,288.97357177734375,-2.4190850257873535,2.660757064819336
1941,01,nc,299.07562255859375,296.41796875,286.02618408203125,-2.6576619148254395,4.347218990325928
1942,01,nc,299.8451843261719,296.9746398925781,286.7700500488281,-2.8705496788024902,3.1942696571350098
1943,01,nc,299.2961120605469,297.1868591308594,288.5617980957031,-2.109250545501709,3.693587064743042
1944,01,nc,299.56964111328125,296.9669494628906,288.5135192871094,-2.6027162075042725,3.4746999740600586
1945,01,nc,299.60015869140625,295.81866455078125,287.79901123046875,-3.781498670578003,3.4546475410461426
1946,01,nc,299.5787658691406,297.20849609375,286.2562255859375,-2.3702566623687744,3.6778852939605713
1947,01,nc,299.903564453125,296.8890380859375,289.2309875488281,-3.014549970626831,2.8046271800994873
1948,01,nc,299.1868591308594,296.38775634765625,289.7610168457031,-2.7991132736206055,2.9549241065979004
1949,01,nc,299.5195617675781,296.31719970703125,289.0120849609375,-3.20237398147583,3.3730127811431885
1950,01,nc,299.4920959472656,296.7718811035156,289.48907470703125,-2.720202922821045,3.5406370162963867
1951,01,nc,299.2715148925781,295.9054260253906,287.9112854003906,-3.3660731315612793,3.716326951980591
1952,01,nc,299.0716247558594,296.2865905761719,289.2129211425781,-2.7850396633148193,2.8230130672454834
1953,01,nc,299.55267333984375,295.60284423828125,287.36663818359375,-3.9498589038848877,3.8063204288482666
1954,01,nc,299.4609069824219,296.67120361328125,287.2462463378906,-2.7897019386291504,4.229381084442139
1955,01,nc,299.0068664550781,297.3038330078125,288.3489685058594,-1.7030386924743652,3.5866901874542236
1956,01,nc,299.00860595703125,296.6273193359375,288.12945556640625,-2.3812947273254395,3.150557279586792
1957,01,nc,298.7798767089844,296.52117919921875,288.4524841308594,-2.2587273120880127,3.760591983795166
1958,01,nc,300.3351745605469,298.00274658203125,289.7044372558594,-2.3323957920074463,3.5414068698883057
1959,01,nc,299.35003662109375,296.7013244628906,288.78619384765625,-2.648698329925537,3.703817367553711
1960,01,nc,299.30120849609375,296.88897705078125,288.5989074707031,-2.412243366241455,3.8725051879882812
1961,01,nc,299.9635314941406,297.5233459472656,288.823974609375,-2.4401750564575195,3.744539737701416
1962,01,nc,298.9803161621094,295.945556640625,286.6553955078125,-3.0347299575805664,4.135838031768799
1963,01,nc,299.87408447265625,297.67645263671875,288.63519287109375,-2.1976568698883057,3.498213291168213
1964,01,nc,299.6934509277344,296.5503234863281,287.2699279785156,-3.1431527137756348,4.659551620483398
1965,01,nc,299.7615661621094,297.7043762207031,289.5263671875,-2.0571680068969727,3.2149362564086914
1966,01,nc,300.04705810546875,297.2965087890625,288.8683776855469,-2.7505457401275635,2.894551992416382
1967,01,nc,299.21075439453125,296.76153564453125,287.48150634765625,-2.4492270946502686,4.902535438537598
1968,01,nc,299.4525146484375,296.0332946777344,288.1418151855469,-3.419215679168701,3.7018256187438965
1969,01,nc,299.7123107910156,297.0113830566406,288.53924560546875,-2.700962781906128,3.5737383365631104
1970,01,nc,300.0531311035156,296.8196105957031,288.2916259765625,-3.2335197925567627,3.3195366859436035
1971,01,nc,299.3300476074219,296.1582946777344,287.6042175292969,-3.171733856201172,3.7013914585113525
1972,01,nc,299.38922119140625,297.1997985839844,288.4101257324219,-2.1894376277923584,3.8942911624908447
1973,01,nc,299.5466003417969,296.3697814941406,287.7514343261719,-3.176800489425659,4.2869415283203125
1974,01,nc,299.4446716308594,296.95916748046875,288.81976318359375,-2.4854965209960938,3.9692940711975098
1975,01,nc,298.99261474609375,296.1552429199219,288.0541687011719,-2.8373751640319824,4.235296249389648
1976,01,nc,298.9678955078125,296.33428955078125,288.7583312988281,-2.6335582733154297,3.493198871612549
1977,01,nc,299.5245056152344,296.68560791015625,288.5035095214844,-2.8389065265655518,3.7774407863616943
1978,01,nc,299.6461181640625,296.68243408203125,288.226318359375,-2.9636881351470947,4.1417741775512695
1979,01,nc,299.49505615234375,296.99078369140625,290.0455017089844,-2.5042636394500732,3.675682783126831
1980,01,nc,299.58306884765625,296.7899169921875,289.2535400390625,-2.793153762817383,3.7789306640625
1981,01,nc,299.4095153808594,296.5677795410156,288.81463623046875,-2.8417673110961914,3.8832199573516846
1982,01,nc,299.0619201660156,296.5080261230469,289.8893737792969,-2.5538625717163086,3.044443130493164
1983,01,nc,298.8887634277344,296.3995666503906,288.7278747558594,-2.4892067909240723,3.952603816986084
1984,01,nc,298.4052429199219,295.65472412109375,287.70281982421875,-2.750478744506836,3.9656922817230225
1985,01,nc,298.9259948730469,296.6773376464844,288.8495178222656,-2.248661518096924,3.953204393386841
1986,01,nc,299.3321228027344,296.8248596191406,288.88726806640625,-2.507301092147827,3.3974521160125732
1987,01,nc,298.8575744628906,296.9544982910156,289.40948486328125,-1.903040885925293,3.600886821746826
1988,01,nc,300.4487609863281,297.988525390625,289.956298828125,-2.46022367477417,3.3127739429473877
1989,01,nc,299.1954040527344,296.7349548339844,288.75982666015625,-2.4604403972625732,4.205091953277588
1990,01,nc,299.7706604003906,297.976806640625,289.55377197265625,-1.7938616275787354,3.9800069332122803
1991,01,nc,299.06494140625,296.40814208984375,288.5370788574219,-2.6567790508270264,4.349090099334717
1992,01,nc,299.0553894042969,296.722900390625,288.86712646484375,-2.332491397857666,3.5954840183258057
1993,01,nc,299.5623779296875,297.23077392578125,289.4269104003906,-2.3315908908843994,4.3849382400512695
1994,01,nc,299.8260803222656,297.2520446777344,289.817138671875,-2.5739870071411133,3.605893611907959
1995,01,nc,298.8739013671875,296.0846252441406,288.0718688964844,-2.7892768383026123,4.140924453735352
1996,01,nc,299.2828369140625,296.9566650390625,290.0028076171875,-2.326172113418579,3.7985386848449707
1997,01,nc,299.4934997558594,296.48974609375,288.27569580078125,-3.0037388801574707,3.886376142501831
1998,01,nc,300.23028564453125,297.1645812988281,290.0414733886719,-3.0657384395599365,3.6008126735687256
1999,01,nc,299.1669006347656,296.33819580078125,288.49505615234375,-2.8287124633789062,3.86150860786438
2000,01,nc,299.7533874511719,297.3748779296875,289.7201232910156,-2.3785085678100586,4.0561628341674805
2001,01,nc,299.4002685546875,296.9627990722656,289.00494384765625,-2.4374797344207764,4.239725589752197
2002,01,nc,300.1383361816406,296.6307678222656,287.9512634277344,-3.507572889328003,4.184952259063721
2003,01,nc,299.8605041503906,297.71478271484375,290.2126159667969,-2.1457295417785645,3.7820663452148438
2004,01,nc,300.0833740234375,297.0269775390625,289.1094055175781,-3.0564076900482178,3.774916887283325
2005,01,nc,299.5932312011719,296.5205078125,288.2846374511719,-3.0727479457855225,4.383825302124023
2006,01,nc,299.5501403808594,297.23382568359375,289.12982177734375,-2.3163459300994873,4.259400844573975
2007,01,nc,299.80828857421875,297.6734619140625,290.19219970703125,-2.1348421573638916,4.2076873779296875
2008,01,nc,299.49981689453125,296.5640869140625,288.4434509277344,-2.9357340335845947,4.33799934387207
2009,01,nc,300.5840148925781,298.1390686035156,290.7918395996094,-2.4449429512023926,3.6181299686431885
2010,01,grib,300.1490173339844,297.94769287109375,290.3870544433594,-2.20133113861084,3.748528003692627
2011,01,grib,299.1385803222656,296.76983642578125,288.7198486328125,-2.3687729835510254,4.176428318023682
2012,01,grib,299.21771240234375,296.0837097167969,287.83514404296875,-3.133965015411377,4.36412239074707
2013,01,grib,299.6788635253906,296.842041015625,288.8280334472656,-2.8368444442749023,3.9997236728668213
2014,01,grib,299.5293273925781,296.7745666503906,289.58026123046875,-2.754727840423584,3.9026002883911133
2015,01,grib,299.8501892089844,296.7343444824219,289.2809753417969,-3.115816116333008,4.086968421936035
2016,01,grib,300.2572326660156,297.4762268066406,289.2851867675781,-2.7809717655181885,3.8159613609313965
2017,01,grib,299.81005859375,297.18304443359375,289.7943115234375,-2.6269991397857666,3.830331563949585
2018,01,grib,299.4319152832031,297.2902526855469,290.10614013671875,-2.1416733264923096,3.3627185821533203
2019,01,grib,299.4564514160156,296.73480224609375,288.64544677734375,-2.7216315269470215,4.384701251983643
2020,01,grib,299.9471740722656,296.7574462890625,290.4264831542969,-3.189711809158325,3.930081605911255
2021,01,grib,300.2844543457031,297.8713684082031,291.4375,-2.413087844848633,4.024503231048584
2022,01,grib,299.7396240234375,296.2752380371094,289.7527770996094,-3.4643850326538086,3.8256800174713135
2023,01,grib,299.302001953125,296.6126403808594,289.50384521484375,-2.6893765926361084,4.232518196105957
2024,01,grib,300.6164245605469,297.9396667480469,290.6068115234375,-2.6767587661743164,3.9014081954956055
2025,01,grib,300.1476745605469,298.0345458984375,291.1766357421875,-2.113110065460205,4.028027534484863
1940,07,nc,301.9972839355469,299.48358154296875,297.01080322265625,-2.5137155055999756,9.636658668518066
1941,07,nc,301.71502685546875,299.6329650878906,296.7277526855469,-2.082066535949707,9.12148666381836
1942,07,nc,300.89617919921875,298.71722412109375,296.4474182128906,-2.1789846420288086,8.85263442993164
1943,07,nc,301.0752868652344,298.5796203613281,296.36297607421875,-2.4956657886505127,9.257471084594727
1944,07,nc,301.54595947265625,299.135009765625,296.80242919921875,-2.410989999771118,9.071172714233398
1945,07,nc,300.9175720214844,298.9306640625,296.7131652832031,-1.9869294166564941,7.356612682342529
1946,07,nc,301.34478759765625,299.2305603027344,296.9918212890625,-2.1142492294311523,8.368657112121582
1947,07,nc,302.11676025390625,299.3896789550781,297.0965576171875,-2.727077007293701,7.903886795043945
1948,07,nc,301.25213623046875,299.2915954589844,297.1490173339844,-1.9605712890625,7.462780475616455
1949,07,nc,301.8248596191406,299.0684509277344,296.84600830078125,-2.7563705444335938,6.7904510498046875
1950,07,nc,301.0260925292969,298.61724853515625,296.55572509765625,-2.4088001251220703,8.30770492553711
1951,07,nc,301.33416748046875,298.9840087890625,296.6354064941406,-2.3501908779144287,6.6201629638671875
1952,07,nc,301.23919677734375,299.0531311035156,296.70904541015625,-2.186044454574585,7.036910533905029
1953,07,nc,301.08123779296875,298.81573486328125,296.3373718261719,-2.265512228012085,6.209873199462891
1954,07,nc,300.8795471191406,299.0094909667969,296.743408203125,-1.87005615234375,7.321988105773926
1955,07,nc,301.5071716308594,299.3677062988281,296.74981689453125,-2.1394641399383545,7.1331868171691895
1956,07,nc,300.6551208496094,298.6416015625,296.2655029296875,-2.013521432876587,8.248674392700195
1957,07,nc,301.3859558105469,299.5687255859375,297.1065673828125,-1.8172318935394287,8.033095359802246
1958,07,nc,301.3076171875,299.6533508300781,297.2787780761719,-1.654250979423523,8.394603729248047
1959,07,nc,301.2453308105469,299.26275634765625,296.970458984375,-1.9825897216796875,8.682169914245605
1960,07,nc,301.7913818359375,299.68743896484375,297.1424255371094,-2.103931188583374,6.6538801193237305
1961,07,nc,301.3744812011719,299.299560546875,297.0673522949219,-2.07490611076355,8.76305866241455
1962,07,nc,301.7823791503906,299.60308837890625,297.0927429199219,-2.179316520690918,8.111710548400879
1963,07,nc,301.84527587890625,299.7049865722656,297.2292785644531,-2.1402978897094727,7.37960958480835
1964,07,nc,301.7272033691406,299.3967590332031,296.9696044921875,-2.330427646636963,6.094828128814697
1965,07,nc,301.8631896972656,299.3176574707031,296.783935546875,-2.5455315113067627,8.90065860748291
1966,07,nc,302.1015319824219,299.8313293457031,297.2021179199219,-2.27022123336792,6.945770740509033
1967,07,nc,301.52508544921875,299.5397033691406,297.05743408203125,-1.9853719472885132,8.042182922363281
1968,07,nc,301.8133239746094,299.6424255371094,297.18426513671875,-2.1709065437316895,7.777669429779053
1969,07,nc,301.6524353027344,299.63311767578125,297.2230529785156,-2.0193090438842773,7.534275054931641
1970,07,nc,301.38763427734375,299.60723876953125,297.1952209472656,-1.7803895473480225,7.461668491363525
1971,07,nc,301.37445068359375,299.3812255859375,296.8302307128906,-1.9932433366775513,7.469520568847656
1972,07,nc,301.48046875,299.7735595703125,297.11810302734375,-1.7068830728530884,7.883014678955078
1973,07,nc,300.894287109375,299.2371826171875,296.8390808105469,-1.6571018695831299,7.923259258270264
1974,07,nc,301.2596740722656,299.6715393066406,297.19256591796875,-1.5881112813949585,7.098221778869629
1975,07,nc,301.4173278808594,299.4299011230469,296.9172058105469,-1.9874850511550903,6.074541091918945
1976,07,nc,301.80535888671875,299.8819274902344,297.3931579589844,-1.9234369993209839,7.42221212387085
1977,07,nc,301.8603515625,299.5357666015625,297.2155456542969,-2.324601411819458,7.688388824462891
1978,07,nc,300.838623046875,299.35882568359375,296.8667297363281,-1.4798052310943604,7.142611026763916
1979,07,nc,301.288818359375,299.846435546875,297.2210998535156,-1.442393183708191,6.764631271362305
1980,07,nc,301.3195495605469,299.6202697753906,297.0914611816406,-1.699292540550232,8.14430046081543
1981,07,nc,301.3832702636719,299.4934387207031,297.0504455566406,-1.8898115158081055,7.827446460723877
1982,07,nc,302.0116271972656,299.8868713378906,297.3448486328125,-2.124760389328003,7.028140544891357
1983,07,nc,301.8079528808594,299.8752136230469,297.5932312011719,-1.9327346086502075,6.622790813446045
1984,07,nc,300.6003112792969,299.2044372558594,296.56878662109375,-1.3958507776260376,7.254873752593994
1985,07,nc,300.73028564453125,299.16815185546875,296.6214599609375,-1.5621408224105835,7.604748249053955
1986,07,nc,301.0116882324219,299.5403137207031,296.7125244140625,-1.4713554382324219,7.885625839233398
1987,07,nc,302.2662658691406,300.2235412597656,297.4772644042969,-2.042726516723633,6.977311134338379
1988,07,nc,302.24468994140625,299.8126220703125,297.41107177734375,-2.432044506072998,7.6023712158203125
1989,07,nc,300.9866943359375,299.4616394042969,296.9034423828125,-1.5250693559646606,7.172893524169922
