month,variable,lr_slope_per_year,lr_total_change,lr_r_squared,lr_p_value,lr_significant,mk_trend,mk_p_value,mk_significant,mk_sen_slope_per_year
January,SST,0.0054791595762736026,0.46572856398325624,0.09713484192811087,0.0034880456198168805,True,increasing,0.010507206160702331,True,0.004918416341145833
January,2m Temperature,0.0066428845589707785,0.5646451875125161,0.08242056125005214,0.007360644243688501,True,increasing,0.019549494067612194,True,0.005953418965242347
January,Dewpoint,0.02312640352931592,1.9657442999918533,0.3129238525024332,2.1603433809076727e-08,True,increasing,4.0811912893623514e-07,True,0.021985541449652778
January,Air-Sea ΔT,0.001163833288321142,0.09892582950729707,0.004698920103285928,0.5305737632779379,False,no trend,0.5860578546179578,False,0.0009463900950417723
January,Wind Speed,0.007309964159883594,0.6213469535901055,0.18562979612289876,3.457784567288196e-05,True,increasing,9.377214095218633e-06,True,0.007353519571238551
July,SST,0.002375999100506678,0.2019599235430676,0.020861243453588377,0.18457589586627574,False,no trend,0.21012261793298936,False,0.0020359584263392855
July,2m Temperature,0.01049684108588551,0.8922314923002683,0.4481905492978493,1.8277041845261475e-12,True,increasing,7.041478511382593e-11,True,0.010227550159801136
July,Dewpoint,0.007799181903756511,0.6629304618193035,0.3400857895838236,3.818358930707629e-09,True,increasing,5.163814309483428e-08,True,0.00738525390625
July,Air-Sea ΔT,0.008120971433654912,0.6902825718606675,0.36725457142092793,6.299861725117702e-10,True,increasing,3.5334462689107227e-08,True,0.008166813188129
July,Wind Speed,-0.006787974632339123,-0.5769778437488254,0.04777801627264296,0.043186403308244935,True,no trend,0.12436760977379979,False,-0.005968597957066127
